fpr,tpr,_exp_1
0.0,0.0,1.8741834
0.0,0.0006825938566552901,0.8741834
0.0,0.0020477815699658703,0.8741352
0.0006825938566552901,0.0020477815699658703,0.87411255
0.0006825938566552901,0.0027303754266211604,0.87409544
0.0027303754266211604,0.0027303754266211604,0.8740593
0.0027303754266211604,0.0061433447098976105,0.8738347
0.0034129692832764505,0.0061433447098976105,0.8737729
0.0034129692832764505,0.006825938566552901,0.87376726
0.004095563139931741,0.006825938566552901,0.8737589
0.004095563139931741,0.008873720136518772,0.87354
0.00477815699658703,0.008873720136518772,0.8735087
0.00477815699658703,0.014334470989761093,0.872694
0.005460750853242321,0.014334470989761093,0.8726262
0.005460750853242321,0.015699658703071672,0.8725782
0.007508532423208191,0.015699658703071672,0.87207174
0.007508532423208191,0.021160409556313993,0.8711269
0.008873720136518772,0.021160409556313993,0.8710514
0.008873720136518772,0.025938566552901023,0.87041444
0.00955631399317406,0.025938566552901023,0.8704034
0.00955631399317406,0.034129692832764506,0.86901224
0.010238907849829351,0.034129692832764506,0.86890393
0.010238907849829351,0.03617747440273038,0.8688427
0.010921501706484642,0.03617747440273038,0.86873865
0.010921501706484642,0.03754266211604096,0.8686082
0.012969283276450512,0.03754266211604096,0.8683463
0.012969283276450512,0.04436860068259386,0.8674394
0.013651877133105802,0.04436860068259386,0.8674183
0.013651877133105802,0.04573378839590444,0.86728305
0.014334470989761093,0.04573378839590444,0.86727643
0.014334470989761093,0.04778156996587031,0.8668825
0.015017064846416382,0.04778156996587031,0.8668697
0.015017064846416382,0.05597269624573379,0.8664917
0.015699658703071672,0.05597269624573379,0.86641574
0.015699658703071672,0.05802047781569966,0.86623806
0.016382252559726963,0.05802047781569966,0.86621964
0.016382252559726963,0.060068259385665526,0.86612004
0.017064846416382253,0.060068259385665526,0.8660638
0.017064846416382253,0.06416382252559727,0.8658563
0.017747440273037544,0.06416382252559727,0.8658293
0.017747440273037544,0.06552901023890785,0.86564034
0.018430034129692834,0.06552901023890785,0.86560273
0.018430034129692834,0.0689419795221843,0.8654174
0.01911262798634812,0.0689419795221843,0.8654104
0.01911262798634812,0.07235494880546076,0.86517495
0.019795221843003412,0.07235494880546076,0.8651719
0.019795221843003412,0.07713310580204778,0.8648219
0.020477815699658702,0.07713310580204778,0.8647917
0.020477815699658702,0.07918088737201365,0.8646581
0.021160409556313993,0.07918088737201365,0.86461127
0.021160409556313993,0.08532423208191127,0.8642526
0.027986348122866895,0.12013651877133105,0.8642269
