precision,recall,threshold
0.5088572420979507,1.0,0.04556372
0.5086865879082696,0.9993174061433447,0.045622084
0.5088633993743483,0.9993174061433447,0.045830917
0.5090403337969402,0.9993174061433447,0.046164297
0.5092173913043478,0.9993174061433447,0.046183478
0.5093945720250522,0.9993174061433447,0.046188287
0.5095718760877131,0.9993174061433447,0.046283457
0.5097493036211699,0.9993174061433447,0.04632942
0.509926854754441,0.9993174061433447,0.0463878
0.5101045296167247,0.9993174061433447,0.046399392
0.5102823283373998,0.9993174061433447,0.046466757
0.5104602510460251,0.9993174061433447,0.04686851
0.5106382978723404,0.9993174061433447,0.04693851
0.5108164689462665,0.9993174061433447,0.04711316
0.5109947643979058,0.9993174061433447,0.04721541
0.5111731843575419,0.9993174061433447,0.047251955
0.511351728955641,0.9993174061433447,0.04727249
0.5115303983228512,0.9993174061433447,0.04742138
0.5117091925900035,0.9993174061433447,0.04748737
0.5118881118881119,0.9993174061433447,0.04753509
0.5120671563483735,0.9993174061433447,0.047580708
0.5122463261021694,0.9993174061433447,0.047626764
0.5124256212810641,0.9993174061433447,0.04763251
0.5126050420168067,0.9993174061433447,0.047701497
0.512784588441331,0.9993174061433447,0.04781871
0.5129642606867554,0.9993174061433447,0.04786415
0.5131440588853838,0.9993174061433447,0.047975894
0.5133239831697055,0.9993174061433447,0.048399795
0.5135040336723956,0.9993174061433447,0.048541065
0.5136842105263157,0.9993174061433447,0.048589874
0.5138645138645138,0.9993174061433447,0.048634525
0.5140449438202247,0.9993174061433447,0.04866445
0.5142255005268704,0.9993174061433447,0.048889555
0.5144061841180604,0.9993174061433447,0.049054157
0.5145869947275923,0.9993174061433447,0.04913511
0.5147679324894515,0.9993174061433447,0.04929175
0.5149489975378122,0.9993174061433447,0.04935502
0.5151301900070373,0.9993174061433447,0.049492255
0.515311510031679,0.9993174061433447,0.049524765
0.5154929577464789,0.9993174061433447,0.04966386
0.5156745332863685,0.9993174061433447,0.049679197
0.5158562367864693,0.9993174061433447,0.0497062
0.5160380683820938,0.9993174061433447,0.04975638
0.5162200282087447,0.9993174061433447,0.049811903
0.5160493827160494,0.9986348122866894,0.049939245
